Wing name,Genotype,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,Coeff6,Coeff7,Coeff8,Coeff9,Coeff10,Coeff11,Coeff12,Coeff13,Coeff14,Coeff15,Coeff16,Coeff17,Coeff18,Coeff19,Coeff20,Coeff21,Coeff22,Coeff23,Coeff24,Coeff25,Coeff26,Coeff27,Coeff28,Coeff29,Coeff30,Coeff31,Coeff32,Coeff33,Coeff34,Coeff35,Coeff36,Coeff37,Coeff38,Coeff39,Coeff40,Coeff41,Coeff42,Coeff43,Coeff44,Coeff45,Coeff46,Coeff47,Coeff48,Coeff49,Coeff50,Coeff51,Coeff52,Coeff53,Coeff54,Coeff55,Coeff56,Coeff57,Coeff58,Coeff59,Coeff60,Coeff61,Coeff62,Coeff63,Coeff64,Coeff65,Coeff66,Coeff67,Coeff68,Coeff69,Coeff70,Coeff71,Coeff72,Coeff73,Coeff74,Coeff75,Coeff76,Coeff77,Coeff78,Coeff79,Coeff80
samw_F_L_oly_4X_60,Female,-0.509978128,0,0.187188714,0,525.0842811,2.03E-13,3.45E-13,-314.6373142,2.163324792,0.315343953,3.166148858,4.065176086,31.37804593,1.317720653,1.798312467,-25.74184999,1.337852611,-0.866098968,-2.067917321,-3.067524905,7.934532907,-0.63679111,2.745546205,-1.885110176,0.015334272,0.590890026,-0.764196831,-1.078729873,2.842365919,-1.179585146,2.478412171,-2.630552462,-0.168759059,0.790884245,-2.084321781,0.758736988,0.627225746,-1.119005852,-0.071881795,-0.759986477,0.60049089,1.337619337,0.684155272,0.968805949,0.257495244,-0.837249273,-0.817543532,-1.064611107,0.359416532,0.851947735,0.043094627,-0.227894221,0.055121035,-0.368880179,-0.520041009,0.181704802,0.244172611,0.721282257,0.270769582,-0.016532418,0.014642357,-0.503002134,-0.038077123,-0.488525387,0.232735175,0.607877388,-0.248689139,0.281413412,-0.068654235,-0.327187498,-0.309490139,0.019872773,0.292020978,0.36451593,0.427216885,0.114052584,-0.057574707,-0.1536905,-0.272857642,-0.026900065
samw_F_L_oly_4X_61,Female,-0.510746804,0,-0.045431632,0,526.9524688,-9.59E-14,-1.63E-13,-308.7292486,4.050961995,-1.165703452,4.160461398,2.885841171,32.10250107,2.688579818,1.247201826,-27.56263624,1.683479029,-2.014473016,-1.204399085,-2.998348649,8.001135534,0.034742284,1.901074295,-2.010839631,0.296754162,-0.500759111,-1.12774416,-1.997908862,3.157149941,-0.607644762,2.432278667,-1.415359655,-0.523768176,0.564729798,-2.462035457,0.456310067,1.102696037,-0.805301402,0.741136923,-0.5909146,0.298934563,1.113957349,0.000213625,0.841981621,0.409428903,-0.95459621,-0.184567245,-0.805557203,0.167811083,1.01605826,-0.096609253,-0.146134053,0.084350596,-0.582309905,-0.482337242,0.12308662,0.254171048,0.785020529,0.302367108,0.022638819,0.063908387,-0.523248216,-0.008147884,-0.334077257,0.189326893,0.464394212,-0.122148942,-0.003003721,-0.122472485,-0.382269914,-0.030177748,0.008715788,0.35547122,0.325504901,0.004464984,0.176494559,-0.119113367,-0.319677915,0.112182601,-0.148341993
samw_F_L_oly_4X_62,Female,2.293029228,0,-0.189870359,0,541.5177491,1.30E-13,2.17E-13,-323.0823767,4.567750415,-2.441543993,3.307689198,4.76043924,31.90097309,1.144697688,1.630230124,-28.04613501,2.972551338,-2.130033076,-2.684766538,-3.736774582,7.862408898,0.04323031,1.829010286,-1.824035326,0.474143368,-0.621622582,-1.466985639,-1.561991561,3.138241401,-0.77389849,2.609499748,-1.437150618,-0.157006836,0.297336911,-2.401023243,0.416096403,0.842084071,-1.405580927,0.473080618,-0.621748758,0.417644333,1.097217579,0.246676833,1.349239207,0.321477712,-1.083588809,-0.275239236,-1.063948091,0.344133131,0.611339398,0.079851121,-0.040895907,-0.103693647,-0.694880496,-0.436270579,0.00443269,0.294962149,0.737274358,-0.015440307,0.14167433,0.03307143,-0.616819109,0.161440945,-0.531963547,0.200713365,0.56885281,-0.189347454,-0.082699501,-0.219235611,-0.348425523,-0.214177468,-0.101547614,0.336028114,0.355903653,0.245011248,0.294893904,-0.084378396,-0.246854914,0.097566161,-0.181439012
samw_F_L_oly_4X_64,Female,3.332449118,0,0.045080448,0,568.7089562,1.03E-13,1.63E-13,-341.8503864,6.29931126,-3.710750099,2.987887275,1.955554626,31.59642478,3.74927811,0.115146142,-27.66538649,3.828425097,-3.049243083,-3.804063689,-4.964117469,7.180696174,1.129903632,3.790437205,-0.820147211,0.244888519,-1.030944217,-2.532703248,-1.936171782,3.38956973,-0.380443386,3.664826687,-1.588716602,-0.624464305,0.067990343,-2.44117359,0.88552602,1.185727165,-0.903529325,-0.02639936,-1.011886101,-0.113222003,1.256405533,0.121917092,1.490087015,0.8137774,-0.936320224,-0.029378259,-0.883395767,-0.162924266,0.956670186,0.216443236,-0.341875471,0.269926792,-0.77784577,-0.326332087,-0.147387599,-0.232305098,1.030291131,0.032432015,0.308616247,0.18350055,-0.813291624,0.260691748,-0.452021283,0.023185572,0.6356563,0.170492317,-0.029730081,-0.096969346,-0.466026905,-0.578018682,-0.277137285,-0.036029603,0.337407054,0.309608794,0.141349976,-0.078262046,-0.113774574,-0.009569032,0.059102552
samw_F_L_oly_4X_66,Female,1.228382034,0,0.030844938,0,551.0681039,-1.60E-14,-3.20E-14,-328.4342862,3.457338462,-0.458280394,4.757274894,6.011234967,32.28837942,1.530109563,0.075073178,-28.63297741,2.5082213,-2.111506764,-1.826699329,-4.492165469,7.697415905,0.348994571,1.776013194,-1.485583688,0.264468827,-0.157896174,-2.067187466,-1.17971062,3.048454648,-0.551672507,3.308639052,-1.478550706,-0.072731838,0.200966005,-2.477187257,0.727534246,0.742724089,-0.940660245,0.255621145,-1.15240088,0.550060106,1.038835719,0.401288621,1.610924278,0.201879516,-0.880981546,-0.225764448,-0.979647145,0.357942991,0.454071472,0.168717855,-0.19729307,-0.085952423,-0.543470331,-0.440945684,0.141456974,0.248099642,0.613760497,0.058555389,0.289715683,-0.062797206,-0.695727793,0.441202747,-0.562850448,0.267311906,0.529068842,-0.112324953,0.375930141,-0.361215705,-0.568674529,-0.257659325,-0.357537202,0.511377194,0.318379,0.500524738,0.352710102,-0.400262226,-0.30008734,-0.307076997,-0.091002847
samw_F_L_oly_4X_67,Female,3.37025358,0,1.168306476,0,553.174285,-1.17E-13,-1.95E-13,-326.0680074,7.901384545,-1.028703469,-0.984707149,3.928284828,30.98972244,3.250103604,3.043479645,-27.94703793,4.010335031,-2.785904648,-2.407335431,-4.221714202,7.939820268,1.825121367,2.780370598,-1.597992166,0.573322058,-1.484136032,-1.877800503,-0.678695423,3.763109364,0.364140042,3.538464009,-2.371290537,-0.656125425,-0.115462466,-2.428101849,0.796924937,1.431356748,-0.843912684,0.480520279,-1.125922111,-0.063484581,1.132172592,0.716822484,1.888158348,0.821284003,-1.123553896,-0.864799778,-1.291970996,0.060234191,0.679960421,0.539865121,-0.179769697,0.117188933,-0.547434846,-0.993376457,0.316297034,0.2166166,0.762188392,0.232177908,-0.245553445,0.147149106,-0.589775955,0.172906396,-0.239784034,0.155001563,0.437745872,-0.275292557,-0.347997116,-0.152659182,-0.200649209,-0.150636831,-0.001983787,0.18465132,0.206413665,0.181718288,0.047766397,0.07358249,-0.141749705,0.357256784,0.11859556
samw_F_L_oly_4X_68,Female,-0.494533634,0,1.315106625,0,550.3567838,6.39E-14,1.14E-13,-331.9556208,4.03531615,10.70287361,12.48510061,2.691068104,36.03019449,0.027334215,-2.322511924,-30.60282943,-0.888487647,1.713310781,-0.933217463,-2.661384209,10.58514822,1.774140468,2.665898025,-2.974952886,0.735026203,-0.674000182,-1.794535041,-0.951072991,2.601656855,-0.237648809,3.33973059,-1.593472752,1.002846158,1.38787785,-0.951777387,0.646087255,1.496309768,-2.215388439,-1.073564247,-1.531891925,-0.385939424,0.415340755,1.240502044,2.446264039,0.397584362,-0.096582733,0.478601181,-1.67813924,0.541727481,-0.185526668,-0.675179407,-1.116574464,-0.915434895,-0.076800396,-0.74836128,0.988987409,0.640194557,1.101482003,0.769950973,-0.396947318,0.274698548,-0.584881226,-0.690196811,-1.21919829,0.196159839,0.477329737,-0.24337826,1.028755263,-0.247809861,0.08367147,0.129861967,-0.39910315,0.740551156,-0.053450928,0.250154598,-0.490656139,-0.568228516,-0.152803534,-0.151343626,0.847327472
samw_F_L_oly_4X_69,Female,1.643008145,0,3.206752156,0,566.0730472,1.95E-14,4.26E-14,-335.154831,3.595236805,9.303906202,1.581744252,6.20822139,35.45747829,1.51584059,1.743311127,-30.27028131,2.509618174,1.406677924,0.534601514,-3.766044093,9.544666768,0.080016007,2.100359037,-1.768988219,0.777927732,0.540304208,-1.338808218,-0.433110855,3.399233927,-0.892758105,3.002429781,-2.864103274,0.733143109,0.959283318,-1.87481462,1.063538135,0.112925564,-1.384030842,-0.237108497,-1.402490155,0.974668285,1.626520073,0.618345707,1.178485487,-0.002398481,-0.681869268,-0.756629538,-0.832507616,0.845620125,0.69191319,0.282870478,-0.411079701,-0.22992085,-0.114942387,-0.635645944,0.374979766,0.787426749,0.384539532,0.331193229,0.061753367,-0.465145199,-0.553093844,0.487503424,-0.723084621,0.399032771,0.48420708,-0.034245308,0.080754545,-0.579499187,-0.041111122,-0.510217663,-0.20573506,0.634424851,0.200967024,0.485557082,0.265838183,-0.168312121,-0.008448535,0.050526304,0.203030827
samw_F_L_oly_4X_78,Female,3.074475343,0,-0.1572196,0,555.1061277,1.90E-13,3.13E-13,-333.4808503,4.487599591,-2.069224716,4.509584045,5.588170881,32.04516138,1.667015926,0.797678159,-28.38407315,3.247937786,-2.36066232,-2.272937528,-3.611653102,8.197407039,0.254615431,2.391266627,-1.655060605,0.546326664,-0.7584105,-1.180211815,-1.513212869,3.263693159,-0.72009501,2.543471125,-1.99859122,-0.22831416,-0.030768052,-2.681873219,0.894010437,1.018559547,-1.016852264,0.175069876,-0.91731137,0.438433158,1.015554512,0.433532432,1.565673778,0.425651981,-0.939217444,-0.639153136,-1.140922251,0.283074859,0.394991665,0.244153152,0.001287022,0.027561999,-0.322950571,-0.634555883,0.153616122,0.209939454,0.376576428,0.141227089,-0.011547129,0.219625401,-0.316421348,0.13263546,-0.455170988,-0.03168145,0.241863165,-0.207195427,0.033105354,0.064878241,-0.086355769,-0.27057471,-0.243226621,0.070590826,0.105737436,0.398961075,0.379345239,0.172234169,-0.009110123,-0.13247267,-0.280852871
samw_F_L_oly_4X_79,Female,1.792477705,0,-0.191712199,0,563.8751892,-1.14E-13,-1.78E-13,-337.0573723,3.316767156,-2.325252231,5.247329111,3.917910511,33.47380649,2.458170893,0.025505097,-30.59008498,1.856159444,-2.496959137,-1.979351749,-2.705225733,8.145326245,0.522448881,1.877836682,-1.762554806,0.313201951,-0.895543914,-1.021396375,-1.29399259,3.229553937,-0.47657286,2.635256448,-2.367757641,-0.453902742,0.098981654,-2.946491232,0.926276644,0.913960539,-0.774688286,0.523986078,-0.999354123,0.522507936,0.882147456,0.667289679,1.188903887,0.148650133,-0.819767273,-0.958374633,-1.198552193,0.171920323,0.406006403,0.246964218,0.060624937,0.020265244,-0.283474836,-0.477635247,0.349967328,0.301513998,0.365776418,0.115262646,-0.192181472,-0.011673214,-0.463391964,0.243723306,-0.480848391,0.108926507,0.461510749,-0.27230328,0.346840672,-0.129803258,-0.36460332,-0.143926596,-0.31962562,0.377869205,0.188652837,0.539825325,0.301564795,-0.173848237,-0.050597755,-0.486044167,-0.427517125
