Wing name,Genotype,Intervein area_1,Intervein area_2,Intervein area_3,Intervein area_4,Intervein area_5,Intervein area_6,Intervein area_7,Intervein area_8,Intervein area_9,Intervein area_10,Intervein trichome count_1,Intervein trichome count_2,Intervein trichome count_3,Intervein trichome count_4,Intervein trichome count_5,Intervein trichome count_6,Intervein trichome count_7,Intervein trichome count_8,Intervein trichome count_9,Intervein trichome count_10,Total wing area,Total trichome density,AP axis,PD axis,d(L3-L4)
samw_F_L_oly_4X_12,1,0.21908,0.383904,0.03222,0.419,0.130268,0.454932,0.525616,0,0,0,1012,1931,167,2140,656,2496,2879,0,0,0,2.446884,5210.575422,1.233435852,2.158369987,0.246738728
samw_F_L_oly_4X_13,1,0.205408,0.37614,0.026908,0.41432,0.125232,0.441096,0.51686,0,0,0,853,1809,130,2036,622,2253,2675,0,0,0,2.400748,4927.909499,1.234312764,2.128157184,0.263400835
samw_F_L_oly_4X_14,1,0.197804,0.362588,0.02664,0.401212,0.11442,0.445328,0.490868,0,0,0,940,1852,137,2135,612,2547,2791,0,0,0,2.308192,5402.038394,1.225340769,2.087252021,0.252926867
samw_F_L_oly_4X_16,1,0.201152,0.375848,0.024596,0.404464,0.113724,0.43996,0.491556,0,0,0,937,2039,129,2208,578,2478,2702,0,0,0,2.318252,5397.065276,1.209768573,2.0871447,0.261357992
samw_F_L_oly_4X_17,1,0.1943,0.346816,0.025948,0.384736,0.112972,0.420964,0.466056,0,0,0,933,1811,143,2015,601,2406,2636,0,0,0,2.20898,5402.72734,1.196545026,2.036073918,0.247717581
samw_F_L_oly_4X_18,1,0.21144,0.374976,0.028644,0.411436,0.125876,0.445808,0.51634,0,0,0,1002,1919,149,2155,642,2519,2915,0,0,0,2.390824,5344.475342,1.229772337,2.12206244,0.257720779
samw_F_L_oly_4X_19,1,0.220012,0.383832,0.030108,0.420376,0.119056,0.455064,0.551236,0,0,0,1012,1966,171,2183,597,2602,3016,0,0,0,2.43152,5297.556894,1.232423628,2.150052325,0.248128999
samw_F_L_oly_4X_20,1,0.223028,0.397064,0.030704,0.439288,0.129316,0.482312,0.556212,0,0,0,1027,2027,166,2280,657,2641,3092,0,0,0,2.54286,5265.899118,1.259849197,2.18480022,0.254943131
samw_F_L_oly_4X_21,1,0.199452,0.360456,0.025588,0.39046,0.111968,0.423132,0.477916,0,0,0,976,1871,144,2125,599,2503,2690,0,0,0,2.21136,5484.2401,1.189571351,2.043425066,0.250798724
samw_F_L_oly_4X_22,1,0.210316,0.37498,0.028824,0.42182,0.117876,0.444812,0.503984,0,0,0,1004,1975,159,2316,652,2576,2835,0,0,0,2.33188,5477.472781,1.236991512,2.109766338,0.256312309
samw_F_L_oly_4X_23,1,0.19524,0.355504,0.02678,0.38796,0.111744,0.421596,0.4785,0,0,0,948,1913,145,2131,604,2386,2840,0,0,0,2.203432,5546.384912,1.187119202,2.045669817,0.250710989
samw_F_L_oly_4X_24,1,0.22822,0.400244,0.0308,0.43338,0.129928,0.4668,0.57048,0,0,0,1048,2111,163,2250,685,2644,3100,0,0,0,2.492296,5310.52476,1.269116228,2.149224279,0.277308492
samw_F_L_oly_4X_25,1,0.216936,0.381152,0.03062,0.427584,0.130304,0.462656,0.579396,0,0,0,1028,1927,162,2231,654,2544,3110,0,0,0,2.46096,5230.07671,1.242824203,2.14655934,0.256889081
samw_F_L_oly_4X_26,1,0.193172,0.351856,0.024148,0.393116,0.114828,0.420732,0.4834,0,0,0,891,1918,123,2035,620,2363,2759,0,0,0,2.23984,5405.168045,1.199508233,2.044713183,0.247717581
samw_F_L_oly_4X_27,1,0.203096,0.348912,0.025436,0.380548,0.111148,0.417724,0.478476,0,0,0,971,1868,131,2042,595,2460,2683,0,0,0,2.234848,5469.791486,1.191251443,2.062878087,0.230867928
samw_F_L_oly_4X_28,1,0.195736,0.355752,0.026024,0.386632,0.107044,0.426468,0.464628,0,0,0,902,1851,149,2042,538,2478,2629,0,0,0,2.22288,5396.262722,1.193162185,2.049563124,0.251435877
samw_F_L_oly_4X_29,1,0.213772,0.373756,0.029444,0.418752,0.122228,0.451416,0.53678,0,0,0,993,1961,168,2214,610,2521,3014,0,0,0,2.423572,5349.584465,1.225972267,2.127324141,0.255538647
samw_F_L_oly_4X_30,1,0.22104,0.381672,0.028568,0.420868,0.121652,0.448548,0.501528,0,0,0,1012,1963,156,2218,648,2546,2737,0,0,0,2.389268,5311.044524,1.245068673,2.135300681,0.269666461
samw_F_L_oly_4X_31,1,0.21322,0.368896,0.028732,0.411524,0.116308,0.465112,0.505424,0,0,0,989,1889,148,2181,580,2582,2816,0,0,0,2.386056,5302.918241,1.235125905,2.123016957,0.247951608
samw_F_L_oly_4X_32,1,0.241244,0.40404,0.032672,0.4479,0.130176,0.484472,0.567196,0,0,0,1138,2044,168,2347,664,2643,3110,0,0,0,2.550824,5249.382502,1.278056337,2.211016508,0.271116211
samw_F_L_oly_4X_33,1,0.225064,0.395632,0.029084,0.440956,0.133984,0.476436,0.55484,0,0,0,1042,1978,152,2281,698,2596,3015,0,0,0,2.540204,5213.661726,1.27055421,2.172454833,0.254778335
samw_F_L_oly_4X_34,1,0.19734,0.34818,0.028036,0.405708,0.113916,0.427828,0.491036,0,0,0,922,1823,155,2188,595,2503,2824,0,0,0,2.280252,5472.047331,1.208731567,2.066843487,0.251435877
samw_F_L_oly_4X_35,1,0.193224,0.34272,0.023908,0.379264,0.108688,0.421216,0.469664,0,0,0,953,1856,139,2060,576,2460,2736,0,0,0,2.189356,5560.472981,1.183697597,2.022699681,0.232912001
samw_F_L_oly_4X_36,1,0.24318,0.421072,0.031148,0.466608,0,0.000392,0,0,0,0,1110,2169,162,2484,0,1,0,0,0,0,2.62784,5171.86251,0,0,0
samw_F_L_oly_4X_37,1,0.238196,0,0.029384,0,0.129716,0.000628,0.553484,0,0.859264,0,1074,0,153,0,670,1,3046,0,4407,0,2.540952,5247.247003,0,0,0
samw_F_L_oly_4X_38,1,0.231996,0.398052,0.03028,0.433924,0.131016,0.477636,0.555604,0,0,0,1102,2062,162,2249,668,2573,3031,0,0,0,2.506756,5245.498356,1.257454572,2.197486746,0.262640439
samw_F_L_oly_4X_39,1,0.226084,0.383904,0.0303,0.429324,0.122176,0.469204,0.5381,0,0,0,1070,1951,152,2199,631,2645,2958,0,0,0,2.441008,5277.632768,1.268075708,2.157388468,0.254778335
samw_F_L_oly_4X_40,1,0.214636,0.392756,0.026804,0.432744,0.124868,0.470112,0.531808,0,0,0,973,2010,123,2212,658,2509,2823,0,0,0,2.438536,5154.695568,1.26489209,2.166684333,0.248965861
samw_F_L_oly_4X_41,1,0.218736,0.384032,0.027792,0.410128,0.132436,0.439336,0.538764,0,0,0,1034,1971,150,2154,664,2417,2970,0,0,0,2.380256,5280.714607,1.218761667,2.134063261,0.25
samw_F_L_oly_4X_42,1,0.220988,0.393288,0.029984,0.433464,0.12618,0.477736,0.539612,0,0,0,1043,2027,151,2273,651,2591,2947,0,0,0,2.500756,5259.646362,1.273891675,2.163907808,0.263150147
